# yr;getVariable(7,k)-getVariable(5,k)+36*Math.pow(10,-1)-getVariable(4,k)-getVariable(3,k)-99*Math.pow(10,-3)*getVariable(7,k)+getVariable(3,k)*99*Math.pow(10,-3)+95*Math.pow(10,-2)+getVariable(4,k)+98*Math.pow(10,-2)-getVariable(7,k)*69*Math.pow(10,-3)+99*Math.pow(10,-3)*getVariable(3,k)+44*Math.pow(10,-3)+86*Math.pow(10,-2)+getVariable(8,k)+93*Math.pow(10,-2)*getVariable(8,k)+getVariable(8,k);45*Math.pow(10,+2)*69*Math.pow(10,-6)*getVariable(6,k)+getVariable(8,k)*getVariable(8,k)*getVariable(8,k)-74*Math.pow(10,-1)+17*Math.pow(10,-1)*getVariable(8,k)*getVariable(8,k)+getVariable(8,k)-getVariable(8,k)+28*Math.pow(10,-3)*getVariable(7,k)-99*Math.pow(10,-4)*getVariable(1,k)+getVariable(2,k)-getVariable(2,k)+getVariable(7,k)*getVariable(8,k)*99*Math.pow(10,-5)-99*Math.pow(10,-6)*getVariable(4,k)*getVariable(2,k);getVariable(5,k)+getVariable(8,k)*getVariable(8,k)*getVariable(8,k)-98*Math.pow(10,-4)-22*Math.pow(10,-3)+getVariable(8,k)*getVariable(8,k)-getVariable(2,k)*55*Math.pow(10,-5)*89*Math.pow(10,-3)*getVariable(3,k)*getVariable(5,k)+getVariable(6,k)*getVariable(6,k)*99*Math.pow(10,-8)*getVariable(2,k)+getVariable(8,k)*getVariable(6,k)*getVariable(7,k)*99*Math.pow(10,-6)+getVariable(6,k)*getVariable(2,k)*99*Math.pow(10,-6)*getVariable(6,k)*99*Math.pow(10,-4)-getVariable(5,k)*87*Math.pow(10,-5)*getVariable(5,k);22*Math.pow(10,-2)*getVariable(6,k)*getVariable(8,k);getVariable(7,k)-getVariable(3,k)-99*Math.pow(10,-2)-getVariable(5,k)*69*Math.pow(10,-2)+getVariable(8,k)-getVariable(7,k)*99*Math.pow(10,-5)*getVariable(7,k)*getVariable(7,k)*96*Math.pow(10,-4)-getVariable(2,k)*99*Math.pow(10,-4)+99*Math.pow(10,-3)*getVariable(5,k)-getVariable(7,k)*22*Math.pow(10,-4)+getVariable(8,k)*getVariable(8,k)-99*Math.pow(10,-2)-getVariable(2,k)*57*Math.pow(10,-4)+getVariable(3,k)*99*Math.pow(10,-3)-4*Math.pow(10,-2)*getVariable(7,k);63*Math.pow(10,-2)*getVariable(7,k)-getVariable(4,k)*90*Math.pow(10,-2)+getVariable(8,k)*getVariable(8,k)*getVariable(8,k)-getVariable(1,k)*getVariable(7,k)*getVariable(8,k)*39*Math.pow(10,-5)*getVariable(7,k)*getVariable(7,k)*84*Math.pow(10,-6)-getVariable(2,k)*34*Math.pow(10,-6)*getVariable(2,k)-96*Math.pow(10,-2)+getVariable(1,k)-85*Math.pow(10,-3)-getVariable(1,k)+getVariable(4,k)-getVariable(4,k)+getVariable(6,k)*getVariable(6,k)*99*Math.pow(10,-8)*getVariable(4,k)*getVariable(8,k)*99*Math.pow(10,-3)*getVariable(8,k)*getVariable(4,k);75*Math.pow(10,-1)+getVariable(5,k)*getVariable(8,k)*6*Math.pow(10,-1)-22*Math.pow(10,-1)*getVariable(8,k)*getVariable(8,k)-getVariable(6,k)-getVariable(2,k)-99*Math.pow(10,-2)+getVariable(2,k)+99*Math.pow(10,-4)*getVariable(6,k)*getVariable(6,k)*99*Math.pow(10,-4)+getVariable(6,k)+44*Math.pow(10,-3)*getVariable(9,k);84*Math.pow(10,-4)+56*Math.pow(10,-2)*getVariable(7,k)-getVariable(4,k)+78*Math.pow(10,-1)*getVariable(8,k)-getVariable(1,k)*getVariable(8,k)*getVariable(7,k)*getVariable(7,k)*getVariable(8,k)*99*Math.pow(10,-8)+getVariable(8,k)+getVariable(9,k)*getVariable(9,k)*85*Math.pow(10,-5)-90*Math.pow(10,-2)-getVariable(1,k)+getVariable(1,k)+99*Math.pow(10,-5)*getVariable(6,k);26*Math.pow(10,-2)*getVariable(6,k)+getVariable(8,k)*getVariable(8,k)*getVariable(8,k)*16*Math.pow(10,-1)+getVariable(7,k)*getVariable(7,k)*getVariable(7,k)*98*Math.pow(10,-8)*getVariable(8,k)+98*Math.pow(10,-2)*getVariable(3,k)-getVariable(3,k)-getVariable(2,k)*99*Math.pow(10,-5)*getVariable(8,k)*95*Math.pow(10,-1)+99*Math.pow(10,-3)+getVariable(8,k)+94*Math.pow(10,-3)+99*Math.pow(10,-4)*getVariable(6,k)+getVariable(3,k)+99*Math.pow(10,-3)+99*Math.pow(10,-3)-getVariable(3,k)-99*Math.pow(10,-5)*getVariable(2,k)*30*Math.pow(10,-3)*getVariable(2,k)+getVariable(6,k)-getVariable(6,k);67*Math.pow(10,-2)*getVariable(7,k)-getVariable(3,k)*99*Math.pow(10,-3)-getVariable(5,k)+getVariable(3,k)-getVariable(3,k)+getVariable(8,k)*getVariable(8,k)-91*Math.pow(10,-2)-91*Math.pow(10,-1)+getVariable(8,k)*99*Math.pow(10,-3)*getVariable(5,k)+94*Math.pow(10,-4)*getVariable(6,k)-getVariable(2,k)*99*Math.pow(10,-8)*getVariable(2,k)*97*Math.pow(10,-1)+getVariable(6,k)*54*Math.pow(10,-5)*getVariable(9,k);
19.1;25.264999999999983;22.348649899999995;24.557036635159;18.194;25.776984517535993;22.632012104751595;24.376318812899992;22.34560618734001;22.84383270117999;24.07756067700001;
41.1;45.35939999999999;39.256488539999985;39.3802917202281;42.108000000000004;44.33196399999999;43.0139280797194;39.6956236049;42.2009035;39.572912982999995;43.95555309117001;
31.9;22.883999999999997;29.798512750000004;30.462258417522;23.451999999999998;24.657346764000003;28.181849400920886;30.711742515599994;27.883485126000004;29.520585707500004;24.680874249250017;
31.3;26.194199999999984;26.820766360000007;26.230593536883205;21.296;26.36070539817599;29.135151923604692;26.4243772224;29.26586008039;26.688843316380016;26.731935121279996;
21.1;23.497999999999998;24.1822674;28.53906019854;19.47;25.304861665887998;25.35020607417204;29.553638822499988;25.10523660472002;24.502903667940004;23.93402954432;
33.4;29.48539999999999;30.00397339999999;28.7238091335836;23.451999999999998;30.245033849087996;30.818490376406334;27.763742515599986;32.458228782720006;29.684021736440002;28.98190473916999;
29.1;23.9276;25.445778499999985;26.674769401562504;20.35;24.733147135391995;26.825631548896943;26.800598062499986;26.36808057977001;25.579473361460003;24.672200731250012;
32.7;27.742200000000004;32.47398868999999;29.9355617726296;25.476;28.831437704704005;24.247921888320167;28.74027881639997;23.858980406400004;31.878577750520023;27.434581968370015;
27.1;27.5514;27.0309864;25.060540639675004;21.45;26.969335199744002;26.649218394118797;25.925707562499994;27.229176328000015;26.87276059472002;29.05121313908001;
27.5;28.828599999999994;27.89935384000001;29.1234119872;22.0;29.933688284928003;31.123915069868104;28.0381;31.737309838720012;27.84630350464002;27.23207749568;
27.6;34.91880000000001;35.08062485999999;35.7746945185232;36.784;35.63724762086401;35.5332114567019;34.97098796959999;34.44114181104002;35.10143162364001;34.705007415330016;
26.5;30.926999999999992;29.517435559999992;30.838735304500002;23.1;32.00353050000001;32.612922827285;29.350560249999994;33.312942337500004;29.363533789500025;28.851109865480012;
42.1;67.48119999999999;46.82301760000001;46.2956212732768;52.096000000000004;62.853865144736005;53.436694753280314;43.0999590656;55.729818661239996;47.81982772635999;57.119328001480014;
36.6;33.44079999999998;39.83332451999999;38.07827386250461;43.516000000000005;33.977297366015975;36.831075905401875;41.04465639209998;34.38393495008001;39.282975200159996;37.20024333171999;
36.3;32.8924;36.7253688;33.7180370612392;39.292;33.222981216;32.277829122145604;31.763579764899994;32.769974612000006;36.24147895200001;34.173594686080015;
28.9;34.72399999999999;31.14848468000001;33.0417837771478;31.284;35.69498178403201;31.931477566453747;29.869461132099993;33.47709481360001;31.509211461320007;31.73657976628;
34.7;36.66599999999998;36.31814100000002;32.008022393036;27.852;32.989967392;36.42779806400359;32.80486115560001;38.43615352;35.600242260000016;38.72568011700001;
31.7;24.082;25.345127399999996;28.205789107906902;20.262;26.219286835999995;24.79347299587761;27.2493610041;25.63485300600001;25.62768021049999;22.83322775757;
24.8;27.763999999999992;24.854076600000003;25.227287117640795;19.932;27.914086175488;25.19136997243045;25.038501363599973;25.60355612396001;25.117994437440004;26.940133865480014;
31.7;39.667399999999994;33.82328648000001;33.5587406101376;34.848;39.561992478112;37.08731525637904;30.696781446399985;38.044614030560005;33.91077680812002;37.10685935232001;
29.8;32.19919999999999;28.076062159999996;31.184709841504404;22.044;33.986861480224015;30.829033540764694;29.0020243204;32.02860501326001;28.24634323561999;28.513597682370015;
23.5;21.700400000000005;25.30235820999998;26.339538955160805;20.328000000000003;23.088138715904;21.74317162839605;26.550785857600005;22.226297323040008;25.474760510520014;22.70767208133001;
26.4;31.534999999999993;31.2142176;31.297567709571197;31.416000000000004;31.464970111999992;31.865750251777598;27.681651059599986;31.847173360000003;31.356671472000002;31.197560200479998;
22.2;30.611199999999986;24.305463799999995;23.5595379311168;19.448;28.461109952735995;27.820768889186017;25.95990502559999;27.985520046230008;24.45642570418002;32.67844368848001;
22.8;21.841599999999996;23.93755905000001;26.992984618480005;19.36;23.988969211392;21.09104525843539;26.376989439999985;22.46280344536001;24.388148295960008;20.73745141533;
30.4;23.971199999999993;26.155780039999996;28.294322699810802;20.878;25.554067135392;25.68179689139446;28.036679040099994;25.31972949939001;26.296555078460017;24.056941138080013;
42.3;39.842199999999984;42.981927500000005;44.85931043231;47.432;41.048570047999995;44.741655655032;48.6809585284;45.435020968;43.10814585499999;41.19538623125001;
48.2;35.73019999999999;41.110782680000014;43.619290376811605;44.924;38.65163742185599;41.926649758316266;45.83569642409999;41.935143089120004;41.02221951356003;36.23613534672001;
50.8;56.3398;51.52595939999999;51.301525814365206;59.356;50.05270887731199;44.147292179824724;54.65758696010001;46.45312737440001;52.75273106912002;52.86925014288001;
29.3;26.43779999999999;23.33053149999998;23.7439360163;18.831999999999997;25.897680355935986;24.075903334144456;24.836154553599982;23.91158676615001;23.610197118179997;27.410236125000008;
30.8;39.70599999999999;32.302989880000005;33.37809351819911;32.692;39.273408388;37.26622791106409;31.283063224900005;37.572932111000014;32.517310298;37.39553445557;
42.0;34.72499999999999;37.92922492000002;32.505109288629804;29.106;32.86672797379201;33.23611909448776;31.65749745289998;34.012107022159995;36.93970231046001;36.26079703668;
