# yr;getVariable(7,k)-getVariable(3,k)-50*Math.pow(10,-2)*getVariable(4,k)-57*Math.pow(10,-5)*getVariable(7,k)*getVariable(7,k)/getVariable(3,k)*getVariable(1,k)+getVariable(6,k)/getVariable(1,k)*getVariable(6,k)/43*Math.pow(10,+6)/94*Math.pow(10,-9)/getVariable(1,k)*getVariable(3,k)*getVariable(6,k)*56*Math.pow(10,+2)-55*Math.pow(10,+1)/3*Math.pow(10,-2)*getVariable(2,k)/getVariable(3,k);65*Math.pow(10,+3)/getVariable(3,k)/getVariable(2,k)-getVariable(5,k)-getVariable(4,k)-getVariable(7,k)/getVariable(5,k)+getVariable(7,k)-getVariable(7,k)/getVariable(4,k)/getVariable(5,k)*getVariable(7,k)+getVariable(6,k)/getVariable(1,k)*getVariable(6,k)/getVariable(7,k)*getVariable(6,k)/getVariable(4,k)*getVariable(6,k)/getVariable(1,k)-getVariable(7,k)*3*Math.pow(10,-6)*getVariable(1,k)*getVariable(7,k)-62*Math.pow(10,-1)/getVariable(6,k);getVariable(4,k)+getVariable(2,k)/getVariable(3,k)-getVariable(1,k)/getVariable(3,k)-getVariable(1,k)/getVariable(4,k)+getVariable(6,k)/getVariable(5,k)*getVariable(4,k)/19*Math.pow(10,+8)/42*Math.pow(10,-6)+getVariable(6,k)/getVariable(1,k)+4*Math.pow(10,+1)-getVariable(2,k)/getVariable(7,k)*getVariable(4,k)+getVariable(7,k)/getVariable(4,k)*getVariable(6,k)/getVariable(1,k)-getVariable(1,k)/getVariable(4,k)-getVariable(2,k)/getVariable(5,k)/getVariable(5,k)+71*Math.pow(10,-5)*getVariable(4,k)*getVariable(4,k)/getVariable(9,k);getVariable(7,k)*43*Math.pow(10,-2)-getVariable(3,k)/getVariable(7,k)*getVariable(3,k)*getVariable(1,k)/getVariable(6,k)-getVariable(2,k)/getVariable(3,k)+getVariable(7,k)/getVariable(1,k)/getVariable(4,k)*getVariable(7,k)/getVariable(1,k)*getVariable(7,k)+47*Math.pow(10,-1)/getVariable(9,k)-getVariable(2,k)/getVariable(3,k)+getVariable(6,k)/getVariable(1,k)/getVariable(4,k)*getVariable(6,k)*getVariable(3,k)/getVariable(4,k)+99*Math.pow(10,-4)*getVariable(9,k);38*Math.pow(10,+8)/42*Math.pow(10,-2)*80*Math.pow(10,-8)*getVariable(7,k)+61*Math.pow(10,+1)/getVariable(1,k)-getVariable(4,k)+getVariable(6,k)/getVariable(5,k)-61*Math.pow(10,-3)*43*Math.pow(10,+1)*getVariable(1,k)/getVariable(6,k)-getVariable(2,k)/getVariable(9,k)/getVariable(5,k)+51*Math.pow(10,-2)*getVariable(2,k)/getVariable(4,k)/getVariable(1,k)+getVariable(2,k)/getVariable(7,k)/getVariable(2,k)*getVariable(6,k)+getVariable(4,k)*79*Math.pow(10,-6)*getVariable(4,k)*getVariable(4,k);getVariable(7,k)-getVariable(4,k)-getVariable(5,k)*getVariable(1,k)/getVariable(6,k)-getVariable(7,k)/getVariable(5,k)*getVariable(7,k)/getVariable(4,k)+getVariable(5,k)*99*Math.pow(10,-3)-getVariable(2,k)/getVariable(6,k)+getVariable(6,k)/getVariable(3,k)-getVariable(7,k)*1*Math.pow(10,-4)*getVariable(7,k)/getVariable(4,k)/getVariable(5,k)/getVariable(3,k)/getVariable(5,k)*getVariable(6,k)*getVariable(7,k)*getVariable(6,k)/getVariable(4,k)*16*Math.pow(10,-1)*getVariable(6,k)*getVariable(6,k)/getVariable(2,k)+95*Math.pow(10,-1)/getVariable(3,k);83*Math.pow(10,+2)*getVariable(7,k)/getVariable(2,k)/getVariable(2,k)+getVariable(7,k)*getVariable(2,k)/4*Math.pow(10,-1)/getVariable(5,k)-getVariable(2,k)/getVariable(6,k)*getVariable(2,k)/getVariable(6,k)*getVariable(2,k)/getVariable(4,k)*getVariable(1,k)/getVariable(7,k)-getVariable(1,k)*getVariable(6,k)/getVariable(3,k)/getVariable(2,k)/getVariable(2,k)*getVariable(6,k)/getVariable(2,k)/getVariable(3,k)/getVariable(3,k)/getVariable(3,k)/getVariable(4,k)*4*Math.pow(10,+6)*getVariable(6,k)+92*Math.pow(10,-5)*getVariable(7,k);66*Math.pow(10,-2)*getVariable(7,k)-getVariable(4,k)/getVariable(4,k)*12*Math.pow(10,-1)*getVariable(4,k)*getVariable(1,k)/getVariable(6,k)+90*Math.pow(10,-5)*getVariable(7,k)*getVariable(4,k)/getVariable(9,k)*getVariable(4,k)-99*Math.pow(10,+1)/getVariable(9,k)/getVariable(4,k)/getVariable(4,k)*getVariable(2,k)+getVariable(4,k)/getVariable(1,k)*93*Math.pow(10,+2)/getVariable(2,k)/getVariable(3,k);getVariable(7,k)*29*Math.pow(10,-2)-80*Math.pow(10,-2)/getVariable(3,k)*getVariable(6,k)+getVariable(7,k)/getVariable(4,k)/getVariable(4,k)*getVariable(7,k)-getVariable(2,k)/getVariable(6,k)/getVariable(5,k)*getVariable(2,k)+getVariable(7,k)/getVariable(5,k)*getVariable(2,k)/getVariable(4,k)-getVariable(2,k)/getVariable(6,k)*getVariable(1,k)/getVariable(4,k)*getVariable(1,k)/getVariable(4,k)+getVariable(2,k)/getVariable(1,k)/getVariable(3,k)*getVariable(6,k)/getVariable(1,k)*getVariable(7,k)-getVariable(2,k)*getVariable(2,k)/getVariable(4,k)/getVariable(6,k)+getVariable(1,k)/getVariable(2,k);18*Math.pow(10,+2)/getVariable(2,k)-getVariable(3,k)+getVariable(7,k)*6*Math.pow(10,-1)+57*Math.pow(10,-2)-getVariable(2,k)/getVariable(6,k)-getVariable(1,k)/14*Math.pow(10,-2)*getVariable(2,k)*getVariable(5,k)/getVariable(3,k)+getVariable(6,k)/getVariable(1,k)/getVariable(6,k)/getVariable(4,k)*getVariable(3,k)*1*Math.pow(10,+5)*getVariable(3,k)/getVariable(4,k)/17*Math.pow(10,-5)*getVariable(6,k)*getVariable(6,k)+getVariable(3,k)/getVariable(2,k)/getVariable(9,k)*getVariable(6,k);
19.1;24.624554333149675;24.938987728036082;24.196231861379278;25.058354930019707;24.030023917510814;24.874744022002385;24.956669672595726;24.126027553103775;24.677029969891258;26.063324325929287;
41.1;44.79254598016646;42.80961365875457;43.422397145571175;43.05663857735114;41.95371884841112;43.87710019704042;44.254231025281996;43.03027365841994;43.37407214080118;42.835409723098174;
31.9;27.70436833789642;25.23355813698297;28.35212062011637;27.117766325353433;27.023204912802903;25.478762633718794;28.88177982270781;26.797528691690726;27.742778103449904;26.696914820375305;
31.3;28.835808138007852;30.204693038451307;27.996169863834684;27.46814200219007;28.96685060279859;30.239088628444147;25.67048919954572;28.76595797654117;27.267452602035636;28.766860528881036;
21.1;25.490641173892172;22.373013711102896;23.560155577856342;25.04311823583205;23.10638021872991;20.9305506100102;23.740663685539378;21.169744611638116;24.374686910753663;24.506132123370897;
33.4;36.390871807815216;35.79499880964246;35.68444725515138;34.5581379700815;34.912054695504175;35.6813286442183;34.17548151730103;36.645896290619405;35.38330844568443;35.714077778496474;
29.1;26.350378093027178;26.56881952425909;27.03673995650455;25.32956840261446;25.71452897090983;26.308420646910474;26.590304145753965;25.542646176988033;25.962586897765572;26.714019089273325;
32.7;26.474764413492025;25.090764363836847;26.80350585368529;27.654787248878723;25.249399177446886;25.45202412004936;28.474485836236454;25.292636770380874;28.01429700116873;26.926701186787387;
27.1;28.954716835529517;29.41937400154239;28.70332960823514;28.26986177768513;29.121083938356353;30.73849068433911;28.82745991380095;29.65344366815519;29.43203529983252;28.56988110122152;
27.5;32.483919115570046;32.643500297842465;31.822664669606915;31.23930114447857;31.21162650899918;31.947783028470898;29.669235547689194;31.641131548952547;30.219296408225578;32.22631190206815;
27.6;31.899948158609227;32.64876234832237;33.23137401553676;31.4016357314979;30.389737246061475;32.14385121655627;32.961204099154706;30.452283480513593;31.267267919898313;32.712561308194665;
26.5;34.767447497827966;34.05977169297787;33.961184089675974;33.67694726028073;33.23761577040848;33.630653537842015;32.315019603041364;33.89066199367933;32.533931351966395;34.013167589169946;
42.1;54.731293843092715;64.92524598948974;53.94345034059262;56.548607370276144;58.88510477980402;51.077351137999955;47.90923903601909;60.11189936391437;62.039540303323214;59.723908539551005;
36.6;33.66186080649715;30.869327574082913;32.60174882011863;32.851056249786545;32.56084967966427;33.79745043396746;33.26397296757691;33.493666994721025;33.78005201167993;31.77115180361552;
36.3;32.422309426171836;32.50038301350105;33.20138933483337;32.289686855791864;32.252125605889326;31.767730308924772;34.04017501406952;33.54133809794859;34.51110558172923;32.323664196187174;
28.9;31.648082673231077;33.570610300492675;33.630870521173456;33.98862798480631;33.227288284536854;31.230519556544998;33.18694929763784;32.41481382737789;34.14927463654991;33.473455637136716;
34.7;36.070546502343866;37.07443959758917;37.57843395622436;37.06970381116241;39.30038028526746;37.486659089092676;36.60378352500112;36.978572232875756;36.36218877956734;34.66680241429526;
31.7;29.421007868937146;27.468261600619606;29.725343568226435;29.17487982586838;27.977127622287355;28.201178270325972;30.39484837713129;29.577050118687673;29.78989972437449;29.912784104208647;
24.8;27.449548644939092;28.524450764029076;28.749955066146377;27.21708017153838;26.531556642828328;28.140563838259844;28.98804618404969;26.916485410273104;27.69997677525942;28.613253784769316;
31.7;36.557327577734775;38.0832448500336;36.83477872918843;36.858927755705174;36.53823827676875;36.48976271135111;34.95921454372901;36.00160482132519;37.20117667283357;36.766957345991656;
29.8;36.291078598531726;34.6840072921425;37.04326878718616;35.205330845675995;33.35195861930623;34.15626696167765;36.9552517619886;34.90066893725618;35.18314878501869;36.2952468294037;
23.5;24.617098123616465;23.217944899081434;24.84517884846081;25.097116045033687;24.209899238551326;24.42716700390341;27.33679626849121;25.363468782604954;26.382587728680647;25.555710769174944;
26.4;28.645384353064117;31.216642274460597;31.52906763047277;31.439163322724905;31.77777550896477;30.49569432327472;31.102964993833897;29.10647049369495;30.428618673888984;30.578487221923726;
22.2;28.302997969051614;29.58131821275645;27.641366596109027;27.261282560075163;28.395583327970474;30.157266674534558;27.40964584055146;26.328906042946212;27.87553987219181;27.00619080557016;
22.8;25.279472500280384;24.126040677746108;25.50684441074381;25.941002179239486;24.44033205812881;24.254443736869625;27.318776241085224;26.002008827993553;26.66872204533467;27.045297955377357;
30.4;26.407620268032474;24.945992428533575;26.96577905698609;26.021306896172753;24.81077811742355;24.713945084082162;27.67480953802297;24.814070269489502;26.392071064221682;26.651826333349966;
42.3;44.68007958868219;41.56457753427827;43.31937776245936;42.9494877585581;42.27285029072683;42.41542241597927;44.924187523544894;43.75273165432057;42.38532246587668;42.90736434242944;
48.2;44.23116428845057;39.540720407793714;42.71477931660146;41.80403244297388;40.49296396682861;40.891486013902664;43.85965091070879;42.811079019504966;42.330342806792196;41.97384581029622;
50.8;39.59195459836018;48.5508547951651;46.48203454820128;49.585435559998125;49.45266648848979;43.634686499874746;46.87619613977788;49.342054820747265;44.48999515065622;46.6739413707416;
29.3;26.209285478927498;26.293758248342364;25.833462178853306;26.434857817529057;26.569704865177705;27.675032304836364;27.091014906616607;26.563281825917958;26.93411512270574;26.23831641088058;
30.8;34.35369277209225;36.248898586408686;33.39183611620618;34.20107367793048;33.492241228024255;34.934508144229646;29.97829180709211;31.95755496145208;31.743879503975016;34.38227139678799;
42.0;34.60261339332122;34.60891663605232;37.71101486001346;35.70876103965321;36.276802497788836;35.197170060402556;36.85267529367605;35.421968995089614;35.62175352903427;33.934539172158395;
39.8;39.80218856761217;35.62465389311548;39.33954372008268;39.81732250214732;37.28178797657162;36.575454434486616;40.23079121526903;36.40068493427693;38.27004686004819;38.11161850362363;
19.7;19.42046348858589;21.03043127938699;18.407927214263257;21.273978265062038;22.699015866602323;22.708955838847086;22.65333646251328;23.08936293613273;22.041004942043422;21.136074033059526;
32.2;30.206939606084763;32.00930914674351;31.68812461033509;30.820395758833286;31.906106929805016;31.15910895766254;30.788490298584772;31.670116319871095;32.023457847982954;31.641648258652797;
