# yr;18*Math.pow(10,-2)-99*Math.pow(10,+3)*87*Math.pow(10,-9)/55*Math.pow(10,+5)+getVariable(7,k)*getVariable(7,k)/getVariable(7,k)*42*Math.pow(10,-2)+79*Math.pow(10,-3)-getVariable(4,k)+getVariable(9,k)*getVariable(6,k)/getVariable(1,k)*12*Math.pow(10,-4)*getVariable(6,k)+getVariable(4,k)-79*Math.pow(10,-1)/getVariable(8,k)+getVariable(8,k)*getVariable(8,k)*getVariable(8,k)-getVariable(8,k)*getVariable(1,k)*getVariable(2,k)/42*Math.pow(10,-4)/getVariable(5,k)*getVariable(6,k)*getVariable(7,k)/35*Math.pow(10,-1)*getVariable(6,k)+1*Math.pow(10,+2)/getVariable(9,k)*getVariable(6,k)/getVariable(1,k)/48*Math.pow(10,-2)*getVariable(6,k)*getVariable(6,k)-getVariable(3,k)/getVariable(9,k)*getVariable(2,k)/getVariable(6,k);95*Math.pow(10,-2)*getVariable(7,k)-getVariable(5,k)-getVariable(4,k)+getVariable(8,k)*getVariable(8,k)*getVariable(2,k)/getVariable(7,k)/getVariable(7,k)*getVariable(6,k)-getVariable(1,k)/getVariable(5,k)/getVariable(4,k)/getVariable(4,k)/getVariable(3,k)*getVariable(1,k)/95*Math.pow(10,+5)*getVariable(8,k)+1*Math.pow(10,+1)/getVariable(3,k)*getVariable(9,k)*getVariable(5,k)/getVariable(7,k)*10*Math.pow(10,+1)/getVariable(9,k)-getVariable(3,k)/getVariable(5,k)*getVariable(2,k)/getVariable(1,k)/getVariable(8,k)/getVariable(6,k)*getVariable(1,k)/getVariable(4,k)*getVariable(7,k)+getVariable(5,k)/getVariable(7,k)*getVariable(6,k)/6*Math.pow(10,+2)/getVariable(1,k)-1*Math.pow(10,-3)*getVariable(7,k)/getVariable(4,k)/getVariable(8,k)*getVariable(7,k)/48*Math.pow(10,+1)*getVariable(8,k)/getVariable(8,k)*getVariable(7,k)+34*Math.pow(10,-3)-getVariable(8,k)*getVariable(5,k)/getVariable(4,k)+94*Math.pow(10,-2)+90*Math.pow(10,-2)+getVariable(5,k)/60*Math.pow(10,+1)*getVariable(5,k)/getVariable(7,k)*getVariable(5,k)/getVariable(7,k)*getVariable(6,k)/getVariable(7,k)*getVariable(8,k)*1*Math.pow(10,+3)/getVariable(2,k)-getVariable(7,k)/getVariable(3,k)/getVariable(3,k)*25*Math.pow(10,+2)/getVariable(2,k)/getVariable(4,k)*getVariable(7,k)-4*Math.pow(10,+8)/getVariable(6,k)/getVariable(6,k)/getVariable(4,k)/getVariable(5,k)/getVariable(4,k)/getVariable(6,k)*getVariable(2,k)+getVariable(6,k)/getVariable(5,k)/getVariable(9,k)/getVariable(8,k)/getVariable(5,k)*getVariable(6,k)/getVariable(3,k)*getVariable(6,k)/getVariable(5,k)*getVariable(6,k)/getVariable(8,k);getVariable(8,k)+getVariable(5,k)-getVariable(1,k)/getVariable(3,k)+getVariable(8,k)+getVariable(8,k)*getVariable(8,k)*getVariable(8,k)-getVariable(2,k)/getVariable(6,k)*1*Math.pow(10,-9)*getVariable(5,k)/16*Math.pow(10,+8)*getVariable(5,k)+getVariable(7,k)*2*Math.pow(10,-2)*getVariable(8,k)+getVariable(6,k)/26*Math.pow(10,+2)/getVariable(5,k)-getVariable(3,k)/getVariable(6,k)/getVariable(1,k)*getVariable(2,k)/getVariable(7,k)*getVariable(2,k)+getVariable(3,k)-getVariable(1,k)/getVariable(3,k)-68*Math.pow(10,-3)+16*Math.pow(10,-2)-getVariable(3,k)*95*Math.pow(10,-2)-getVariable(8,k)-getVariable(2,k)*getVariable(2,k)*getVariable(2,k)*getVariable(2,k)/getVariable(6,k)/getVariable(7,k)/getVariable(7,k)/getVariable(2,k);1*Math.pow(10,-9)-getVariable(1,k)*99*Math.pow(10,+3)/35*Math.pow(10,-4)-getVariable(3,k)-getVariable(5,k)+getVariable(7,k)+getVariable(3,k)*79*Math.pow(10,-2)/getVariable(7,k)*getVariable(6,k)-getVariable(2,k)/getVariable(5,k)/getVariable(8,k)+getVariable(8,k)/getVariable(8,k)+10*Math.pow(10,-5)*getVariable(4,k)*getVariable(5,k)*getVariable(3,k)/91*Math.pow(10,+4)/getVariable(1,k)/getVariable(4,k)*getVariable(5,k)-getVariable(7,k)/getVariable(3,k)*getVariable(7,k)/getVariable(5,k)+getVariable(8,k)-86*Math.pow(10,-1)/getVariable(5,k)*getVariable(2,k)/getVariable(5,k)/getVariable(8,k)*72*Math.pow(10,+1)/getVariable(2,k)-getVariable(7,k)/getVariable(8,k)/getVariable(5,k)+getVariable(6,k)/getVariable(5,k)/getVariable(8,k)+getVariable(5,k)*getVariable(2,k)*getVariable(6,k)/getVariable(3,k)/getVariable(7,k)/getVariable(4,k);4*Math.pow(10,+4)/getVariable(2,k)/getVariable(1,k)*54*Math.pow(10,-2)-getVariable(3,k)*85*Math.pow(10,-2)*96*Math.pow(10,-2)-getVariable(5,k)+getVariable(7,k)+getVariable(5,k)/46*Math.pow(10,+1)-getVariable(2,k)*getVariable(1,k)/getVariable(3,k)/getVariable(6,k)*getVariable(7,k)/getVariable(3,k)*getVariable(7,k)/getVariable(1,k)-getVariable(2,k)/getVariable(5,k)/getVariable(8,k)-70*Math.pow(10,-2)+getVariable(8,k)-getVariable(7,k)/getVariable(5,k)/80*Math.pow(10,+3)/46*Math.pow(10,-5)*getVariable(5,k)*getVariable(1,k)*getVariable(7,k)/getVariable(5,k)*getVariable(7,k)+getVariable(7,k)/getVariable(4,k)/getVariable(4,k)*getVariable(8,k)+getVariable(8,k)+getVariable(9,k)/16*Math.pow(10,+2)/getVariable(7,k)-69*Math.pow(10,+5)/getVariable(5,k)/getVariable(8,k)/getVariable(5,k)/getVariable(5,k)/getVariable(6,k)+getVariable(6,k)/getVariable(1,k)+getVariable(6,k)/getVariable(7,k)*61*Math.pow(10,-1)-getVariable(7,k)/getVariable(5,k)/9*Math.pow(10,-1)*getVariable(3,k)/getVariable(8,k)-getVariable(7,k)*getVariable(2,k)/getVariable(3,k)*getVariable(7,k)/getVariable(3,k)/getVariable(3,k)/getVariable(5,k)/getVariable(8,k)/getVariable(4,k)*getVariable(7,k)+getVariable(2,k)/17*Math.pow(10,-1)*getVariable(6,k)/14*Math.pow(10,-4)/79*Math.pow(10,+9)*getVariable(6,k)/9*Math.pow(10,-1)/getVariable(4,k)/getVariable(9,k)*getVariable(5,k)/getVariable(7,k);
19.1;21.59540062689893;23.065652771243467;22.189648581447706;22.21426319259138;22.53178096452346;
41.1;42.40211713485186;43.15566093165743;41.389906009624;44.02708986354217;43.425734890313464;
31.9;28.56794797820348;27.898408639729478;30.14273639433224;27.524867494148832;28.269203011487523;
31.3;25.918107324929217;27.88013981288372;26.862475959250716;26.682702590891633;26.802299329643894;
21.1;24.84720081214137;23.43401046242608;23.159594598543215;23.63498828853544;24.255841077408753;
33.4;31.444173131240014;32.39205714850392;31.777675765208972;33.14408752628986;32.10030038263222;
29.1;25.014252214239594;26.12988654295778;26.097358488193944;24.783907696150337;25.863746729531975;
32.7;28.741473069588253;28.1039551228294;31.064419352005693;28.60212368712093;29.918359312124604;
27.1;27.063630721765797;27.498359911182014;27.532736932743234;27.93676597301776;27.365772158135364;
27.5;27.782406433361647;29.731632856814663;28.902256805809394;28.729108769782076;29.141059603649484;
27.6;34.01941722578538;34.480399033243806;35.3532631274697;33.440609088055716;34.917122209822985;
26.5;30.150980673827174;31.41801007221867;30.666768338958285;31.00644588955488;31.20632247142115;
42.1;52.31335530032399;43.140866255369886;46.492177917480014;53.91912396931635;40.02714420860645;
36.6;38.29684502683495;38.62621094469653;39.231467549788725;38.66679829988514;37.961048377155514;
36.3;36.63670471326995;35.60389334038112;36.45091778046078;35.27253123427278;36.335875362973496;
28.9;31.746612184520817;30.28411249574685;30.889527445722642;30.650662078125993;30.915502893663557;
34.7;36.29843913073203;35.257291490141306;35.797772937857225;36.43252071104828;34.629350585052855;
31.7;25.633823223502823;27.45845346040533;27.103212361387094;27.212568302313368;26.72310893813737;
24.8;24.366389566418807;25.83744321888909;25.981053990981856;24.615013769172734;25.768342823843756;
31.7;34.80974815572755;34.153990587620434;34.287491187033226;34.62983517804553;34.94681425039259;
29.8;30.56702589696614;31.56104180452783;30.83641426230434;31.475845727900033;31.58743963074655;
23.5;24.242601957560364;24.471681282422974;25.876780453047807;25.13314714661806;24.786713444953886;
26.4;30.03188407573764;29.445245808974725;30.363625755675912;29.538269228927113;30.09039050992965;
22.2;26.72092331134908;25.801455302130123;24.489782631085433;26.27725164964295;26.075506278725868;
22.8;23.32334110975057;24.850842990472074;24.75590373518011;24.082835244581922;24.170520902113825;
30.4;25.320362330509965;25.89975457026131;26.83978296153557;25.166266796360134;26.222384509112167;
42.3;44.91511209127297;44.81613114302277;45.032333907416636;43.77531389916073;44.13598068189705;
48.2;43.93445881877178;44.82643785762223;43.67048026273927;43.05909361748661;42.42998650472368;
50.8;48.19394375757551;46.64658228998384;49.19540093479851;46.132397473363824;47.522841864621725;
29.3;24.011876517871148;24.008839172783656;23.59109252646473;24.70801077972691;24.28486858223357;
30.8;32.74030284953528;31.988739600953927;31.56038294538871;32.85616657240052;32.481228585927646;
42.0;35.563271752657236;34.69197565098214;37.01388092510469;36.34753738946888;35.47271650580719;
39.8;42.64695302555857;42.09180909459312;41.58221270274914;40.98479471574447;40.93793623700034;
19.7;19.657330295279753;19.364571196988635;19.533885822532575;19.97771090909928;18.51367878373719;
32.2;32.77131133063239;34.9545494700278;34.90097386104464;33.323153731668754;32.84797548606312;
29.9;28.34226940082836;31.245769615594146;30.24188428174339;30.447773347854188;30.006343644770496;
17.9;21.636059446546252;17.76871297484695;17.595178626383525;20.08878407125341;18.106598586510458;
26.7;22.58343770719497;20.66120693823949;24.86164121147924;21.278173095069576;22.088925845838453;
32.3;33.79607529432863;34.65754705844961;34.20541326064379;33.2010516305452;33.28966093778331;
20.1;23.290759221242066;22.512598160663526;23.14412173077372;23.09286070816096;22.978716600755966;
30.2;30.815990323330098;30.01116539930173;31.37013942031343;32.22606515889412;30.827154039439456;
30.7;33.156156904253415;33.38031617447656;31.73619984012343;32.75556200642123;33.47725376061843;
44.4;37.596785269538515;42.805085479514446;45.87129239711213;43.822230768883536;36.66973831842023;
28.0;25.77522674081949;26.182393795672578;25.60874241306061;25.752653014391214;26.151252795803032;
24.9;32.3969925755281;28.876861714383097;30.367550036131686;29.086467791564157;30.77417657815879;
28.6;26.853966655083923;28.083368187189585;27.388721437868654;27.769202672726028;27.667434582777062;
42.6;40.362915285546734;40.83744975231897;39.953683554442335;40.55704368175087;40.90084098358476;
41.4;39.24676518027548;40.644740354483766;40.01344527885051;39.97705966693494;39.90553510393548;
31.7;30.48319498799284;30.69706436853981;31.080238451846157;30.107467811352926;30.60769325902611;
19.1;20.06882693741792;18.62678127925737;19.650324142953362;19.03061292958558;19.180332276673624;
31.1;33.110715839598;33.248855124495144;33.61105574405113;33.34149960837785;33.26757565396699;
28.3;29.42494603515835;27.832639231738774;29.144028552303315;28.443470873959274;28.824098862770267;
41.4;42.49491063192166;41.99447694751798;41.43931559172688;40.23503204560319;41.56326586518888;
41.1;37.25227391203502;37.89216240389327;37.2498648600275;37.10311464608242;37.334319453755015;
45.5;37.51857896334908;40.79662220609656;39.059048353494696;37.273171256884844;36.42695040593488;
29.1;30.531964768157717;28.954049541666397;30.18205480419573;28.74003184183706;29.306736742673053;
47.0;44.423882972447494;45.83642102583414;44.146977733566125;44.399380862035024;42.886416877608475;
15.9;16.10830412523871;15.48437147514225;14.777069200617431;14.155010049527819;13.025603928316384;
31.7;29.02818854416968;28.955725930857067;30.07124137652586;28.63574278375142;28.043826728206366;
45.9;41.52752624261071;42.121378125772296;41.96109968401798;40.94835418299212;41.40634003489977;
43.1;41.783178421104374;41.78898131992093;41.8448770269585;42.31891409082868;42.453639221051745;
43.3;43.912336662443;44.41268877976337;44.9653872233534;46.00102501831718;45.69963288010802;
46.5;41.99404117151957;41.51657703797108;40.36564717585413;40.67720633974088;41.96011145646463;
22.9;25.847025422865403;25.647348901431094;26.641089898768442;26.942875056963096;25.809650564049715;
15.9;23.84438040494399;22.566582546926472;23.340466880737935;23.081129537261425;22.471066930317487;
27.3;27.871960251077173;27.083471232649703;26.390158905251862;29.59186130450082;26.9398513523546;
45.6;41.99872256175995;42.25299711881252;42.72373675006159;41.45753928636822;42.067346306973384;
41.8;35.826216136821515;37.065202913135415;36.637027781844104;36.37006790547967;36.502703112311444;
26.2;30.374576122441365;26.902688059861823;28.046269488439787;28.292646917091588;29.27883178070404;
29.1;27.01081462321445;27.587996489086464;26.871530688803986;27.5577458697004;27.63894884237749;
35.1;36.85731518405658;35.10814023375699;33.97584158584937;36.251820786329134;35.78054425842289;
